SK_ID_CURR,top_1_risk_driver,top_2_risk_driver,top_3_risk_driver,top_1_support_driver,top_2_support_driver,top_3_support_driver
182540,Days Since ID Update,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special,Temporal Behavioral Pattern,External Risk Score 2,External Risk Score 3
182738,OCCUPATION_TYPE_Drivers,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 2,Temporal Behavioral Pattern,External Risk Score 3
182948,External Risk Score 2,Days Since Last Phone Change,Temporal Behavioral Pattern,External Risk Score 3,External Risk Score 1,Temporal Behavioral Pattern
183159,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,Goods Price,OWN_CAR_AGE,Days Since ID Update,Temporal Behavioral Pattern
183228,External Risk Score 3,External Risk Score 2,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,Temporal Behavioral Pattern,Days Since ID Update
183255,External Risk Score 3,Temporal Behavioral Pattern,Days Since ID Update,External Risk Score 2,OWN_CAR_AGE,APARTMENTS_AVG
183477,Temporal Behavioral Pattern,OBS_60_CNT_SOCIAL_CIRCLE,Employment Length,External Risk Score 3,External Risk Score 1,NAME_EDUCATION_TYPE_Secondary_secondary_special
183643,Days Since Last Phone Change,Employment Length,Goods Price,External Risk Score 1,Temporal Behavioral Pattern,Temporal Behavioral Pattern
183681,Annuity Amount,Temporal Behavioral Pattern,Age Proxy (Days Birth),External Risk Score 3,Credit Amount,Days Since ID Update
183924,External Risk Score 1,Days Since Last Phone Change,Days Since ID Update,External Risk Score 3,OWN_CAR_AGE,NAME_EDUCATION_TYPE_Secondary_secondary_special
184107,Temporal Behavioral Pattern,Annuity Amount,CODE_GENDER_M,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 3,OWN_CAR_AGE
184139,Days Since Last Phone Change,CODE_GENDER_M,NAME_EDUCATION_TYPE_Secondary_secondary_special,Annuity Amount,External Risk Score 3,External Risk Score 2
184400,External Risk Score 3,External Risk Score 2,External Risk Score 1,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Days Since Last Phone Change
184477,DEF_30_CNT_SOCIAL_CIRCLE,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 2,External Risk Score 3,Annuity Amount
184685,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 3,External Risk Score 2,Days Since Last Phone Change
184706,External Risk Score 2,Days Since ID Update,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 3,Region Population Relative
184785,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 3,External Risk Score 2,Days Since Last Phone Change
184805,External Risk Score 2,Annuity Amount,Age Proxy (Days Birth),External Risk Score 3,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special
185013,Employment Length,Days Since ID Update,Goods Price,External Risk Score 3,Days Since Last Phone Change,Temporal Behavioral Pattern
185184,External Risk Score 3,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 2,Annuity Amount,Temporal Behavioral Pattern
185404,External Risk Score 3,Days Since ID Update,Days Since Last Phone Change,External Risk Score 1,Credit Amount,External Risk Score 2
185492,Annuity Amount,Days Since Last Phone Change,Temporal Behavioral Pattern,External Risk Score 2,YEARS_BEGINEXPLUATATION_MODE,NAME_EDUCATION_TYPE_Secondary_secondary_special
185521,External Risk Score 2,NAME_EDUCATION_TYPE_Secondary_secondary_special,Employment Length,External Risk Score 3,Temporal Behavioral Pattern,Temporal Behavioral Pattern
185555,External Risk Score 2,Days Since Last Phone Change,Temporal Behavioral Pattern,External Risk Score 3,Days Since ID Update,Region Population Relative
185650,External Risk Score 3,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Days Since ID Update,Days Since Last Phone Change,Temporal Behavioral Pattern
185676,External Risk Score 2,Temporal Behavioral Pattern,Annuity Amount,External Risk Score 1,External Risk Score 3,Days Since Last Phone Change
185695,DEF_30_CNT_SOCIAL_CIRCLE,Days Since Last Phone Change,Temporal Behavioral Pattern,External Risk Score 2,External Risk Score 3,Temporal Behavioral Pattern
185883,Temporal Behavioral Pattern,External Risk Score 2,External Risk Score 1,External Risk Score 3,Days Since Last Phone Change,OCCUPATION_TYPE_Medicine_staff
186019,External Risk Score 2,External Risk Score 3,Days Since Last Phone Change,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Days Since ID Update
186115,Days Since Last Phone Change,Days Since ID Update,CODE_GENDER_M,External Risk Score 2,External Risk Score 3,Annuity Amount
186319,OBS_60_CNT_SOCIAL_CIRCLE,AMT_REQ_CREDIT_BUREAU_YEAR,COMMONAREA_AVG,External Risk Score 3,External Risk Score 1,External Risk Score 2
186382,External Risk Score 2,Days Since Last Phone Change,CODE_GENDER_M,External Risk Score 1,External Risk Score 3,Days Since ID Update
186468,Days Since ID Update,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 1,Temporal Behavioral Pattern,Days Since Last Phone Change
186672,Temporal Behavioral Pattern,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 3,External Risk Score 2,Days Since Last Phone Change
186751,External Risk Score 3,External Risk Score 1,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special,YEARS_BEGINEXPLUATATION_MODE,YEARS_BEGINEXPLUATATION_MEDI
186756,External Risk Score 2,AMT_REQ_CREDIT_BUREAU_YEAR,CODE_GENDER_M,Days Since Last Phone Change,Temporal Behavioral Pattern,Days Since Registration
187156,External Risk Score 3,External Risk Score 2,Temporal Behavioral Pattern,Annuity Amount,Days Since Registration,Credit Amount
187346,Days Since Last Phone Change,Employment Length,LIVE_CITY_NOT_WORK_CITY,External Risk Score 2,External Risk Score 3,Temporal Behavioral Pattern
187474,External Risk Score 2,Days Since Last Phone Change,Annuity Amount,External Risk Score 3,Age Proxy (Days Birth),Days Since ID Update
187647,Days Since ID Update,CODE_GENDER_M,OBS_30_CNT_SOCIAL_CIRCLE,External Risk Score 1,External Risk Score 2,NAME_EDUCATION_TYPE_Secondary_secondary_special
187702,Annuity Amount,Temporal Behavioral Pattern,External Risk Score 1,External Risk Score 2,Temporal Behavioral Pattern,Temporal Behavioral Pattern
187873,External Risk Score 2,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 3,Days Since Last Phone Change,NONLIVINGAREA_MODE
188335,External Risk Score 2,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 3,Days Since Last Phone Change,Annuity Amount
188358,External Risk Score 3,External Risk Score 1,Annuity Amount,External Risk Score 2,Total Income,Days Since Last Phone Change
188571,Days Since Last Phone Change,OBS_60_CNT_SOCIAL_CIRCLE,Temporal Behavioral Pattern,External Risk Score 3,External Risk Score 2,NAME_EDUCATION_TYPE_Secondary_secondary_special
188585,Days Since Last Phone Change,Annuity Amount,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 2,External Risk Score 3,Age Proxy (Days Birth)
188674,External Risk Score 2,Days Since Last Phone Change,CODE_GENDER_M,Annuity Amount,Age Proxy (Days Birth),Employment Length
188840,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Annuity Amount,External Risk Score 1,External Risk Score 3,Days Since Last Phone Change
189021,Days Since Last Phone Change,External Risk Score 1,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 2,Temporal Behavioral Pattern,Temporal Behavioral Pattern
189066,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,Goods Price,External Risk Score 1,External Risk Score 3,External Risk Score 2
189122,AMT_REQ_CREDIT_BUREAU_YEAR,NAME_EDUCATION_TYPE_Secondary_secondary_special,Temporal Behavioral Pattern,External Risk Score 3,External Risk Score 2,Days Since Last Phone Change
189227,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,Temporal Behavioral Pattern,External Risk Score 2,External Risk Score 3,Age Proxy (Days Birth)
189448,External Risk Score 2,External Risk Score 3,Days Since ID Update,External Risk Score 1,Temporal Behavioral Pattern,Annuity Amount
189578,External Risk Score 2,DEF_30_CNT_SOCIAL_CIRCLE,Days Since Last Phone Change,External Risk Score 3,Days Since ID Update,CODE_GENDER_M
189672,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,Temporal Behavioral Pattern,External Risk Score 1,External Risk Score 2,Annuity Amount
189821,External Risk Score 2,External Risk Score 3,External Risk Score 1,Employment Length,FLOORSMIN_MEDI,Total Income
189908,NAME_FAMILY_STATUS_Separated,Days Since Last Phone Change,Temporal Behavioral Pattern,External Risk Score 3,External Risk Score 2,NONLIVINGAREA_MODE
189919,Days Since ID Update,NAME_FAMILY_STATUS_Separated,AMT_REQ_CREDIT_BUREAU_YEAR,External Risk Score 2,Temporal Behavioral Pattern,Days Since Last Phone Change
189930,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 3,External Risk Score 2,Days Since Last Phone Change
189931,Days Since ID Update,NAME_FAMILY_STATUS_Separated,CODE_GENDER_M,Temporal Behavioral Pattern,Days Since Last Phone Change,Temporal Behavioral Pattern
189979,External Risk Score 2,Days Since Last Phone Change,External Risk Score 1,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 3,Days Since ID Update
190162,External Risk Score 2,External Risk Score 1,Days Since Last Phone Change,Credit Amount,Temporal Behavioral Pattern,Temporal Behavioral Pattern
190185,External Risk Score 1,Temporal Behavioral Pattern,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special,Days Since Last Phone Change,External Risk Score 2
190349,External Risk Score 2,OCCUPATION_TYPE_Drivers,External Risk Score 1,External Risk Score 3,Employment Length,Region Population Relative
190478,Days Since ID Update,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 3
190577,External Risk Score 3,DEF_30_CNT_SOCIAL_CIRCLE,Temporal Behavioral Pattern,External Risk Score 2,OWN_CAR_AGE,Annuity Amount
190645,External Risk Score 1,Days Since Last Phone Change,Temporal Behavioral Pattern,External Risk Score 3,OWN_CAR_AGE,NAME_EDUCATION_TYPE_Secondary_secondary_special
190669,Days Since ID Update,NAME_EDUCATION_TYPE_Secondary_secondary_special,CODE_GENDER_M,External Risk Score 2,External Risk Score 3,COMMONAREA_MEDI
190704,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 2,External Risk Score 3,Credit Amount
190712,External Risk Score 3,External Risk Score 2,Annuity Amount,External Risk Score 1,Days Since Registration,NAME_EDUCATION_TYPE_Secondary_secondary_special
190778,Temporal Behavioral Pattern,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 3,OWN_CAR_AGE,Days Since Last Phone Change
190822,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,Temporal Behavioral Pattern,External Risk Score 3,Annuity Amount,External Risk Score 2
191034,External Risk Score 1,Days Since Last Phone Change,Days Since ID Update,OWN_CAR_AGE,External Risk Score 2,Annuity Amount
191051,External Risk Score 2,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,Days Since ID Update,Temporal Behavioral Pattern,External Risk Score 3
191074,External Risk Score 2,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 3,Temporal Behavioral Pattern,Days Since Last Phone Change
191153,External Risk Score 3,Temporal Behavioral Pattern,Employment Length,External Risk Score 1,External Risk Score 2,Days Since Registration
191218,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Annuity Amount,External Risk Score 2,Days Since Last Phone Change,External Risk Score 3
191425,OCCUPATION_TYPE_Drivers,Temporal Behavioral Pattern,Days Since ID Update,External Risk Score 2,External Risk Score 3,Employment Length
191447,External Risk Score 3,Days Since ID Update,External Risk Score 1,FLAG_PHONE,BASEMENTAREA_MEDI,Goods Price
191513,External Risk Score 2,Days Since ID Update,Temporal Behavioral Pattern,External Risk Score 3,External Risk Score 1,Days Since Last Phone Change
191641,Days Since ID Update,Days Since Last Phone Change,Employment Length,External Risk Score 3,NAME_EDUCATION_TYPE_Secondary_secondary_special,Annuity Amount
191715,Temporal Behavioral Pattern,NAME_FAMILY_STATUS_Separated,OCCUPATION_TYPE_Drivers,External Risk Score 3,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special
191758,Temporal Behavioral Pattern,Days Since Last Phone Change,Days Since ID Update,External Risk Score 2,External Risk Score 3,NAME_EDUCATION_TYPE_Secondary_secondary_special
191773,Days Since Last Phone Change,Annuity Amount,Temporal Behavioral Pattern,External Risk Score 2,External Risk Score 1,External Risk Score 3
191821,Days Since Last Phone Change,Temporal Behavioral Pattern,Employment Length,NAME_EDUCATION_TYPE_Secondary_secondary_special,Annuity Amount,External Risk Score 3
191960,Days Since ID Update,NAME_EDUCATION_TYPE_Secondary_secondary_special,Goods Price,External Risk Score 3,External Risk Score 2,Days Since Last Phone Change
192085,Employment Length,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 1,Days Since Last Phone Change,Age Proxy (Days Birth)
192242,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 3,External Risk Score 2,Days Since Last Phone Change
192254,Days Since Last Phone Change,CODE_GENDER_M,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 3,External Risk Score 2,Temporal Behavioral Pattern
192344,External Risk Score 2,Days Since Last Phone Change,External Risk Score 1,External Risk Score 3,NAME_EDUCATION_TYPE_Secondary_secondary_special,Days Since ID Update
192464,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special,Goods Price,External Risk Score 3,Days Since Last Phone Change,External Risk Score 2
192547,Days Since ID Update,Days Since Last Phone Change,Annuity Amount,External Risk Score 2,External Risk Score 3,Temporal Behavioral Pattern
192601,NAME_FAMILY_STATUS_Separated,Temporal Behavioral Pattern,Days Since Last Phone Change,External Risk Score 3,External Risk Score 2,FLAG_PHONE
192667,Days Since Last Phone Change,OCCUPATION_TYPE_Drivers,CODE_GENDER_M,External Risk Score 3,Temporal Behavioral Pattern,External Risk Score 2
192690,External Risk Score 2,Days Since ID Update,Annuity Amount,External Risk Score 3,Employment Length,Age Proxy (Days Birth)
192900,External Risk Score 2,Days Since Last Phone Change,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 3,Days Since ID Update
192928,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Annuity Amount,External Risk Score 2,Days Since Last Phone Change,External Risk Score 3
193384,Annuity Amount,Temporal Behavioral Pattern,External Risk Score 1,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 2,YEARS_BEGINEXPLUATATION_MEDI
193483,NAME_FAMILY_STATUS_Separated,Annuity Amount,Temporal Behavioral Pattern,External Risk Score 1,Days Since Last Phone Change,Employment Length
193551,External Risk Score 2,External Risk Score 1,Days Since ID Update,Temporal Behavioral Pattern,Temporal Behavioral Pattern,OWN_CAR_AGE
193922,External Risk Score 3,OCCUPATION_TYPE_Drivers,External Risk Score 1,External Risk Score 2,Temporal Behavioral Pattern,Temporal Behavioral Pattern
194005,External Risk Score 2,Age Proxy (Days Birth),Temporal Behavioral Pattern,External Risk Score 3,Days Since ID Update,Days Since Last Phone Change
194040,External Risk Score 2,Days Since ID Update,Days Since Last Phone Change,Annuity Amount,Goods Price,Credit Amount
194160,External Risk Score 2,Days Since Last Phone Change,Temporal Behavioral Pattern,External Risk Score 3,Days Since ID Update,Annuity Amount
194172,External Risk Score 2,External Risk Score 3,Days Since ID Update,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Annuity Amount
194176,External Risk Score 3,External Risk Score 2,Days Since Last Phone Change,Annuity Amount,Days Since Registration,Age Proxy (Days Birth)
194218,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 1,Days Since ID Update,Days Since Last Phone Change,Temporal Behavioral Pattern
194220,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,CODE_GENDER_M,Temporal Behavioral Pattern,External Risk Score 2,External Risk Score 1
194223,External Risk Score 3,Days Since ID Update,Temporal Behavioral Pattern,External Risk Score 2,Employment Length,OCCUPATION_TYPE_Medicine_staff
194237,Days Since Last Phone Change,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 3,External Risk Score 2,Temporal Behavioral Pattern
194556,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Days Since Last Phone Change,Annuity Amount,External Risk Score 2
194686,External Risk Score 3,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 2,Annuity Amount,NAME_EDUCATION_TYPE_Secondary_secondary_special
194754,External Risk Score 3,Days Since ID Update,Days Since Last Phone Change,External Risk Score 2,Employment Length,Temporal Behavioral Pattern
195119,External Risk Score 2,NAME_FAMILY_STATUS_Separated,Region Population Relative,Days Since Last Phone Change,External Risk Score 1,Temporal Behavioral Pattern
195242,External Risk Score 2,Days Since Last Phone Change,Annuity Amount,External Risk Score 3,Age Proxy (Days Birth),Days Since ID Update
195581,Days Since Last Phone Change,DEF_30_CNT_SOCIAL_CIRCLE,Temporal Behavioral Pattern,External Risk Score 3,External Risk Score 2,Age Proxy (Days Birth)
195722,Temporal Behavioral Pattern,Temporal Behavioral Pattern,CODE_GENDER_M,External Risk Score 3,External Risk Score 2,NAME_EDUCATION_TYPE_Secondary_secondary_special
195754,NAME_FAMILY_STATUS_Separated,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special,Days Since ID Update,Days Since Last Phone Change,External Risk Score 3
195784,Temporal Behavioral Pattern,OBS_60_CNT_SOCIAL_CIRCLE,Temporal Behavioral Pattern,External Risk Score 1,External Risk Score 3,Days Since Last Phone Change
195837,External Risk Score 2,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 3,Region Population Relative,Credit Amount
195887,External Risk Score 3,Days Since ID Update,Temporal Behavioral Pattern,External Risk Score 2,NAME_EDUCATION_TYPE_Secondary_secondary_special,Employment Length
195889,External Risk Score 2,Days Since Last Phone Change,Days Since ID Update,External Risk Score 1,Days Since Registration,Temporal Behavioral Pattern
195928,Temporal Behavioral Pattern,Days Since Last Phone Change,Temporal Behavioral Pattern,Annuity Amount,External Risk Score 2,Days Since ID Update
195947,Temporal Behavioral Pattern,Days Since ID Update,Temporal Behavioral Pattern,Days Since Last Phone Change,External Risk Score 3,AMT_REQ_CREDIT_BUREAU_QRT
196000,AMT_REQ_CREDIT_BUREAU_YEAR,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 2,External Risk Score 3,Days Since Last Phone Change
196058,Temporal Behavioral Pattern,OBS_60_CNT_SOCIAL_CIRCLE,Temporal Behavioral Pattern,External Risk Score 2,Days Since Last Phone Change,Employment Length
196114,Days Since ID Update,NAME_EDUCATION_TYPE_Secondary_secondary_special,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Annuity Amount,External Risk Score 2
196138,External Risk Score 1,Days Since Last Phone Change,Days Since ID Update,External Risk Score 2,External Risk Score 3,Annuity Amount
196257,External Risk Score 2,Days Since ID Update,Days Since Last Phone Change,NONLIVINGAREA_MODE,Temporal Behavioral Pattern,AMT_REQ_CREDIT_BUREAU_QRT
196258,External Risk Score 2,Days Since ID Update,Annuity Amount,Temporal Behavioral Pattern,Days Since Last Phone Change,Temporal Behavioral Pattern
196421,External Risk Score 3,External Risk Score 1,Annuity Amount,External Risk Score 2,OWN_CAR_AGE,NAME_EDUCATION_TYPE_Secondary_secondary_special
196513,Days Since ID Update,Days Since Last Phone Change,Temporal Behavioral Pattern,External Risk Score 3,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special
196565,Temporal Behavioral Pattern,Days Since Last Phone Change,Credit Amount,External Risk Score 3,External Risk Score 2,NAME_EDUCATION_TYPE_Secondary_secondary_special
196603,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 2,External Risk Score 3,Days Since Last Phone Change
196708,External Risk Score 3,OBS_60_CNT_SOCIAL_CIRCLE,Days Since ID Update,External Risk Score 2,NAME_EDUCATION_TYPE_Secondary_secondary_special,Temporal Behavioral Pattern
196827,External Risk Score 3,Days Since ID Update,Annuity Amount,External Risk Score 2,External Risk Score 1,Credit Amount
196864,External Risk Score 2,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 1,Days Since ID Update,Days Since Last Phone Change
196869,External Risk Score 2,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,Annuity Amount,External Risk Score 3,Days Since ID Update
196875,Temporal Behavioral Pattern,Annuity Amount,Age Proxy (Days Birth),External Risk Score 3,Days Since Last Phone Change,External Risk Score 2
196885,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,Annuity Amount,External Risk Score 2,Temporal Behavioral Pattern,Temporal Behavioral Pattern
196900,External Risk Score 2,Days Since ID Update,Days Since Last Phone Change,External Risk Score 3,Days Since Registration,Annuity Amount
196935,Annuity Amount,CODE_GENDER_M,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Days Since Last Phone Change,External Risk Score 1
196940,External Risk Score 1,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 2,External Risk Score 3,OWN_CAR_AGE
196969,Annuity Amount,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 3,Temporal Behavioral Pattern,Days Since Last Phone Change
197347,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,OBS_60_CNT_SOCIAL_CIRCLE,External Risk Score 3,Days Since Registration,Temporal Behavioral Pattern
197458,External Risk Score 3,NAME_FAMILY_STATUS_Separated,Temporal Behavioral Pattern,External Risk Score 2,Temporal Behavioral Pattern,Days Since Registration
197588,External Risk Score 2,Days Since Last Phone Change,Temporal Behavioral Pattern,External Risk Score 3,Days Since ID Update,Temporal Behavioral Pattern
197593,External Risk Score 2,Days Since Last Phone Change,OBS_60_CNT_SOCIAL_CIRCLE,Credit Amount,Days Since Registration,External Risk Score 3
197863,Goods Price,Age Proxy (Days Birth),OWN_CAR_AGE,External Risk Score 2,External Risk Score 1,Days Since Last Phone Change
197896,Temporal Behavioral Pattern,OBS_60_CNT_SOCIAL_CIRCLE,Temporal Behavioral Pattern,External Risk Score 2,External Risk Score 1,Days Since Last Phone Change
197915,Temporal Behavioral Pattern,Annuity Amount,Days Since ID Update,External Risk Score 2,External Risk Score 3,Days Since Last Phone Change
197938,External Risk Score 2,Days Since ID Update,Annuity Amount,NAME_EDUCATION_TYPE_Secondary_secondary_special,Temporal Behavioral Pattern,Temporal Behavioral Pattern
198092,External Risk Score 3,Days Since ID Update,Annuity Amount,COMMONAREA_MEDI,OWN_CAR_AGE,External Risk Score 2
198150,Temporal Behavioral Pattern,Days Since Last Phone Change,Temporal Behavioral Pattern,External Risk Score 2,Annuity Amount,Days Since ID Update
198397,Days Since Last Phone Change,Annuity Amount,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 2,Credit Amount,Employment Length
198416,Temporal Behavioral Pattern,NAME_FAMILY_STATUS_Separated,Temporal Behavioral Pattern,External Risk Score 3,Days Since Last Phone Change,Days Since Registration
198507,Annuity Amount,Days Since Last Phone Change,Employment Length,External Risk Score 3,External Risk Score 2,NAME_EDUCATION_TYPE_Secondary_secondary_special
198667,External Risk Score 2,Days Since ID Update,Temporal Behavioral Pattern,External Risk Score 3,Goods Price,Temporal Behavioral Pattern
198713,Days Since ID Update,Temporal Behavioral Pattern,Annuity Amount,External Risk Score 3,External Risk Score 2,Credit Amount
198747,External Risk Score 2,Days Since Last Phone Change,Days Since ID Update,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special,Temporal Behavioral Pattern
198869,Temporal Behavioral Pattern,Employment Length,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 2,External Risk Score 3,Days Since Last Phone Change
199140,External Risk Score 3,OCCUPATION_TYPE_Drivers,OBS_60_CNT_SOCIAL_CIRCLE,External Risk Score 2,Days Since Last Phone Change,Days Since Registration
199391,Temporal Behavioral Pattern,Days Since Last Phone Change,Temporal Behavioral Pattern,External Risk Score 2,External Risk Score 3,Age Proxy (Days Birth)
199396,External Risk Score 3,Days Since Last Phone Change,Days Since ID Update,External Risk Score 2,Credit Amount,Temporal Behavioral Pattern
199506,External Risk Score 2,Days Since ID Update,AMT_REQ_CREDIT_BUREAU_YEAR,Days Since Last Phone Change,Temporal Behavioral Pattern,Temporal Behavioral Pattern
199543,External Risk Score 2,Days Since ID Update,External Risk Score 1,Annuity Amount,YEARS_BUILD_MODE,Credit Amount
199790,Days Since Last Phone Change,Temporal Behavioral Pattern,Employment Length,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 3,External Risk Score 2
199942,Days Since ID Update,Temporal Behavioral Pattern,LIVE_CITY_NOT_WORK_CITY,External Risk Score 1,External Risk Score 2,Temporal Behavioral Pattern
200067,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Annuity Amount,External Risk Score 2,Days Since Last Phone Change,External Risk Score 3
200122,External Risk Score 2,External Risk Score 1,Days Since Last Phone Change,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 3
200204,LIVE_CITY_NOT_WORK_CITY,Goods Price,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 2,External Risk Score 3,Days Since Last Phone Change
200403,Days Since ID Update,Days Since Last Phone Change,Goods Price,External Risk Score 2,External Risk Score 1,NAME_EDUCATION_TYPE_Secondary_secondary_special
200630,Temporal Behavioral Pattern,OBS_60_CNT_SOCIAL_CIRCLE,Temporal Behavioral Pattern,External Risk Score 1,External Risk Score 2,Days Since Last Phone Change
200699,External Risk Score 3,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 1,Days Since ID Update,Temporal Behavioral Pattern
200742,Days Since Last Phone Change,TOTALAREA_MODE,CODE_GENDER_M,COMMONAREA_MEDI,Days Since Registration,External Risk Score 3
200786,External Risk Score 3,Days Since ID Update,External Risk Score 1,NAME_EDUCATION_TYPE_Secondary_secondary_special,Days Since Last Phone Change,External Risk Score 2
201382,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,Goods Price,External Risk Score 1,Employment Length,Temporal Behavioral Pattern
201640,Days Since Last Phone Change,Temporal Behavioral Pattern,CODE_GENDER_M,Days Since ID Update,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 2
201708,External Risk Score 3,External Risk Score 1,Temporal Behavioral Pattern,OWN_CAR_AGE,External Risk Score 2,Total Income
201884,NAME_FAMILY_STATUS_Separated,Temporal Behavioral Pattern,Annuity Amount,External Risk Score 2,Credit Amount,Days Since Last Phone Change
202093,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Days Since Last Phone Change,External Risk Score 2,Temporal Behavioral Pattern,External Risk Score 3
202113,External Risk Score 2,Days Since Last Phone Change,Temporal Behavioral Pattern,External Risk Score 3,Temporal Behavioral Pattern,Days Since ID Update
202134,External Risk Score 3,Days Since ID Update,External Risk Score 1,NAME_EDUCATION_TYPE_Secondary_secondary_special,Credit Amount,External Risk Score 2
